ModelNumber;Timestamp;NumEpochs;ValAccuracy;NumParams;NumFiltersPerLayer;DenseLayerSize;LearningRate;DropoutRate;PoolingType;FilterSize;PaddingType;ActivationFunction;Regularization;OptimizationAlgorithm
1;2020-09-08 22:00:54;16;0.598562479019165;1978;(4, 4, 4, 4); 4; 0.01; 0.05; max; 3; same; relu; l2; adam
2;2020-09-08 22:06:22;43;0.679437518119812;1978;(4, 4, 4, 4); 4; 0.01; 0.1; max; 3; same; relu; l2; adam
3;2020-09-08 22:07:23;8;0.6029999852180481;1978;(4, 4, 4, 4); 4; 0.01; 0.2; max; 3; same; relu; l2; adam
4;2020-09-08 22:08:09;6;0.10000000149011612;1978;(4, 4, 4, 4); 4; 0.01; 0.5; max; 3; same; relu; l2; adam
5;2020-09-08 22:11:24;26;0.6890624761581421;1978;(4, 4, 4, 4); 4; 0.005; 0.05; max; 3; same; relu; l2; adam
6;2020-09-08 22:15:56;36;0.6931250095367432;1978;(4, 4, 4, 4); 4; 0.005; 0.1; max; 3; same; relu; l2; adam
7;2020-09-08 22:18:04;17;0.676437497138977;1978;(4, 4, 4, 4); 4; 0.005; 0.2; max; 3; same; relu; l2; adam
8;2020-09-08 22:21:10;25;0.6622499823570251;1978;(4, 4, 4, 4); 4; 0.005; 0.5; max; 3; same; relu; l2; adam
9;2020-09-08 22:26:07;40;0.6672499775886536;1978;(4, 4, 4, 4); 4; 0.001; 0.05; max; 3; same; relu; l2; adam
10;2020-09-08 22:31:02;40;0.671999990940094;1978;(4, 4, 4, 4); 4; 0.001; 0.1; max; 3; same; relu; l2; adam
11;2020-09-08 22:34:00;24;0.6323750019073486;1978;(4, 4, 4, 4); 4; 0.001; 0.2; max; 3; same; relu; l2; adam
12;2020-09-08 22:36:47;23;0.45637500286102295;1978;(4, 4, 4, 4); 4; 0.001; 0.5; max; 3; same; relu; l2; adam
13;2020-09-08 22:42:50;50;0.6744999885559082;1978;(4, 4, 4, 4); 4; 0.0005; 0.05; max; 3; same; relu; l2; adam
14;2020-09-09 08:26:09;50;0.6658124923706055;1978;(4, 4, 4, 4); 4; 0.0005; 0.1; max; 3; same; relu; l2; adam
15;2020-09-09 08:30:42;40;0.6349375247955322;1978;(4, 4, 4, 4); 4; 0.0005; 0.2; max; 3; same; relu; l2; adam
16;2020-09-09 08:35:36;43;0.6093124747276306;1978;(4, 4, 4, 4); 4; 0.0005; 0.5; max; 3; same; relu; l2; adam
17;2020-09-09 08:41:22;50;0.5876250267028809;1978;(4, 4, 4, 4); 4; 0.0001; 0.05; max; 3; same; relu; l2; adam
18;2020-09-09 08:47:06;50;0.567187488079071;1978;(4, 4, 4, 4); 4; 0.0001; 0.1; max; 3; same; relu; l2; adam
19;2020-09-09 08:49:38;22;0.42500001192092896;1978;(4, 4, 4, 4); 4; 0.0001; 0.2; max; 3; same; relu; l2; adam
20;2020-09-09 08:53:10;31;0.42118749022483826;1978;(4, 4, 4, 4); 4; 0.0001; 0.5; max; 3; same; relu; l2; adam
21;2020-09-09 08:55:25;20;0.6888124942779541;7690;(8, 8, 8, 8); 8; 0.01; 0.05; max; 3; same; relu; l2; adam
22;2020-09-09 08:57:34;19;0.684374988079071;7690;(8, 8, 8, 8); 8; 0.01; 0.1; max; 3; same; relu; l2; adam
23;2020-09-09 09:00:24;25;0.6972500085830688;7690;(8, 8, 8, 8); 8; 0.01; 0.2; max; 3; same; relu; l2; adam
24;2020-09-09 09:01:06;6;0.10000000149011612;7690;(8, 8, 8, 8); 8; 0.01; 0.5; max; 3; same; relu; l2; adam
25;2020-09-09 09:02:47;15;0.7221249938011169;7690;(8, 8, 8, 8); 8; 0.005; 0.05; max; 3; same; relu; l2; adam
26;2020-09-09 09:07:18;40;0.8434374928474426;7690;(8, 8, 8, 8); 8; 0.005; 0.1; max; 3; same; relu; l2; adam
