ModelNumber;Timestamp;NumEpochs;ValAccuracy;NumParams;HiddenLayerSizes;LearningRate;DropoutRate;ActivationFunction;Regularization;OptimizationAlgorithm
1;2020-09-07 22:30:34;6;0.10000000149011612;1505;(1, 1, 1); 0.01; 0.05; relu; l2; adam
2;2020-09-07 22:31:08;6;0.10000000149011612;1505;(1, 1, 1); 0.01; 0.1; relu; l2; adam
3;2020-09-07 22:31:42;6;0.10000000149011612;1505;(1, 1, 1); 0.01; 0.2; relu; l2; adam
4;2020-09-07 22:32:17;6;0.10000000149011612;1505;(1, 1, 1); 0.01; 0.5; relu; l2; adam
5;2020-09-07 22:32:51;6;0.10000000149011612;1505;(1, 1, 1); 0.005; 0.05; relu; l2; adam
6;2020-09-07 22:33:26;6;0.10000000149011612;1505;(1, 1, 1); 0.005; 0.1; relu; l2; adam
7;2020-09-07 22:34:00;6;0.10000000149011612;1505;(1, 1, 1); 0.005; 0.2; relu; l2; adam
8;2020-09-07 22:34:34;6;0.10000000149011612;1505;(1, 1, 1); 0.005; 0.5; relu; l2; adam
9;2020-09-07 22:35:46;13;0.27393749356269836;1505;(1, 1, 1); 0.001; 0.05; relu; l2; adam
10;2020-09-07 22:36:59;13;0.27281248569488525;1505;(1, 1, 1); 0.001; 0.1; relu; l2; adam
11;2020-09-07 22:39:01;22;0.2736875116825104;1505;(1, 1, 1); 0.001; 0.2; relu; l2; adam
12;2020-09-07 22:40:18;14;0.26475000381469727;1505;(1, 1, 1); 0.001; 0.5; relu; l2; adam
13;2020-09-07 22:42:20;22;0.27918750047683716;1505;(1, 1, 1); 0.0005; 0.05; relu; l2; adam
14;2020-09-07 22:44:23;22;0.2784374952316284;1505;(1, 1, 1); 0.0005; 0.1; relu; l2; adam
15;2020-09-07 22:45:41;14;0.2686249911785126;1505;(1, 1, 1); 0.0005; 0.2; relu; l2; adam
16;2020-09-07 22:48:03;26;0.26656249165534973;1505;(1, 1, 1); 0.0005; 0.5; relu; l2; adam
17;2020-09-07 22:51:43;40;0.26481249928474426;1505;(1, 1, 1); 0.0001; 0.05; relu; l2; adam
18;2020-09-07 22:54:45;33;0.2551249861717224;1505;(1, 1, 1); 0.0001; 0.1; relu; l2; adam
19;2020-09-07 22:57:42;33;0.25306248664855957;1505;(1, 1, 1); 0.0001; 0.2; relu; l2; adam
20;2020-09-07 22:58:30;9;0.21587499976158142;1505;(1, 1, 1); 0.0001; 0.5; relu; l2; adam
21;2020-09-07 22:59:27;10;0.32074999809265137;7685;(5, 10, 10); 0.01; 0.05; relu; l2; adam
22;2020-09-07 23:01:18;20;0.3292500078678131;7685;(5, 10, 10); 0.01; 0.1; relu; l2; adam
23;2020-09-07 23:02:15;10;0.2238750010728836;7685;(5, 10, 10); 0.01; 0.2; relu; l2; adam
24;2020-09-07 23:02:49;6;0.10000000149011612;7685;(5, 10, 10); 0.01; 0.5; relu; l2; adam
25;2020-09-07 23:04:18;16;0.3540000021457672;7685;(5, 10, 10); 0.005; 0.05; relu; l2; adam
26;2020-09-07 23:08:15;43;0.45893749594688416;7685;(5, 10, 10); 0.005; 0.1; relu; l2; adam
27;2020-09-07 23:10:07;20;0.31474998593330383;7685;(5, 10, 10); 0.005; 0.2; relu; l2; adam
28;2020-09-07 23:10:41;6;0.10000000149011612;7685;(5, 10, 10); 0.005; 0.5; relu; l2; adam
29;2020-09-07 23:13:36;32;0.565500020980835;7685;(5, 10, 10); 0.001; 0.05; relu; l2; adam
30;2020-09-07 23:15:20;19;0.5431874990463257;7685;(5, 10, 10); 0.001; 0.1; relu; l2; adam
31;2020-09-07 23:16:04;8;0.4281249940395355;7685;(5, 10, 10); 0.001; 0.2; relu; l2; adam
32;2020-09-07 23:18:41;29;0.23662500083446503;7685;(5, 10, 10); 0.001; 0.5; relu; l2; adam
33;2020-09-07 23:21:40;33;0.6069375276565552;7685;(5, 10, 10); 0.0005; 0.05; relu; l2; adam
34;2020-09-07 23:24:24;30;0.5814999938011169;7685;(5, 10, 10); 0.0005; 0.1; relu; l2; adam
35;2020-09-07 23:27:12;30;0.5625625252723694;7685;(5, 10, 10); 0.0005; 0.2; relu; l2; adam
36;2020-09-07 23:29:26;24;0.24137499928474426;7685;(5, 10, 10); 0.0005; 0.5; relu; l2; adam
37;2020-09-07 23:32:21;31;0.6222500205039978;7685;(5, 10, 10); 0.0001; 0.05; relu; l2; adam
38;2020-09-07 23:35:58;39;0.5877500176429749;7685;(5, 10, 10); 0.0001; 0.1; relu; l2; adam
39;2020-09-07 23:38:31;28;0.4387499988079071;7685;(5, 10, 10); 0.0001; 0.2; relu; l2; adam
40;2020-09-07 23:40:57;26;0.25456249713897705;7685;(5, 10, 10); 0.0001; 0.5; relu; l2; adam
