ModelNumber;Timestamp;NumEpochs;ValAccuracy;NumParams;NumFiltersPerLayer;DenseLayerSize;LearningRate;DropoutRate;PoolingType;FilterSize;PaddingType;ActivationFunction;Regularization;OptimizationAlgorithm
1;2020-09-10 07:16:18;11;0.43050000071525574;2952;4; 2; 0.01; 0.05; max; 3; same; relu; l2; adam
2;2020-09-10 07:18:38;16;0.39024999737739563;2952;4; 2; 0.01; 0.1; max; 3; same; relu; l2; adam
3;2020-09-10 07:20:05;10;0.2645624876022339;2952;4; 2; 0.01; 0.2; max; 3; same; relu; l2; adam
4;2020-09-10 07:21:24;9;0.2591874897480011;2952;4; 2; 0.01; 0.5; max; 3; same; relu; l2; adam
5;2020-09-10 07:24:28;21;0.4762499928474426;2952;4; 2; 0.005; 0.05; max; 3; same; relu; l2; adam
6;2020-09-10 07:28:15;26;0.44087499380111694;2952;4; 2; 0.005; 0.1; max; 3; same; relu; l2; adam
7;2020-09-10 07:31:55;25;0.2860625088214874;2952;4; 2; 0.005; 0.2; max; 3; same; relu; l2; adam
8;2020-09-10 07:35:02;21;0.23600000143051147;2952;4; 2; 0.005; 0.5; max; 3; same; relu; l2; adam
9;2020-09-10 07:40:11;35;0.6116250157356262;2952;4; 2; 0.001; 0.05; max; 3; same; relu; l2; adam
10;2020-09-10 07:44:08;27;0.5837500095367432;2952;4; 2; 0.001; 0.1; max; 3; same; relu; l2; adam
11;2020-09-10 07:48:06;27;0.5772500038146973;2952;4; 2; 0.001; 0.2; max; 3; same; relu; l2; adam
12;2020-09-10 07:53:25;37;0.5732499957084656;2952;4; 2; 0.001; 0.5; max; 3; same; relu; l2; adam
13;2020-09-10 07:56:48;22;0.5521249771118164;2952;4; 2; 0.0005; 0.05; max; 3; same; relu; l2; adam
14;2020-09-10 08:04:01;49;0.5874375104904175;2952;4; 2; 0.0005; 0.1; max; 3; same; relu; l2; adam
15;2020-09-10 08:09:05;34;0.5659375190734863;2952;4; 2; 0.0005; 0.2; max; 3; same; relu; l2; adam
16;2020-09-10 08:14:42;37;0.5524374842643738;2952;4; 2; 0.0005; 0.5; max; 3; same; relu; l2; adam
17;2020-09-10 08:22:12;50;0.5067499876022339;2952;4; 2; 0.0001; 0.05; max; 3; same; relu; l2; adam
18;2020-09-10 08:29:38;50;0.4989374876022339;2952;4; 2; 0.0001; 0.1; max; 3; same; relu; l2; adam
19;2020-09-10 08:36:33;46;0.5235000252723694;2952;4; 2; 0.0001; 0.2; max; 3; same; relu; l2; adam
20;2020-09-10 08:44:03;50;0.48631250858306885;2952;4; 2; 0.0001; 0.5; max; 3; same; relu; l2; adam
21;2020-09-10 08:44:58;6;0.10000000149011612;8763;8; 3; 0.01; 0.05; max; 3; same; relu; l2; adam
22;2020-09-10 08:45:53;6;0.10000000149011612;8763;8; 3; 0.01; 0.1; max; 3; same; relu; l2; adam
23;2020-09-10 08:46:49;6;0.10000000149011612;8763;8; 3; 0.01; 0.2; max; 3; same; relu; l2; adam
24;2020-09-10 08:47:44;6;0.10000000149011612;8763;8; 3; 0.01; 0.5; max; 3; same; relu; l2; adam
25;2020-09-10 08:48:39;6;0.10000000149011612;8763;8; 3; 0.005; 0.05; max; 3; same; relu; l2; adam
26;2020-09-10 08:49:34;6;0.10000000149011612;8763;8; 3; 0.005; 0.1; max; 3; same; relu; l2; adam
27;2020-09-10 08:50:29;6;0.10000000149011612;8763;8; 3; 0.005; 0.2; max; 3; same; relu; l2; adam
28;2020-09-10 08:51:25;6;0.10000000149011612;8763;8; 3; 0.005; 0.5; max; 3; same; relu; l2; adam
29;2020-09-10 08:53:45;15;0.6051250100135803;8763;8; 3; 0.001; 0.05; max; 3; same; relu; l2; adam
30;2020-09-10 08:56:56;21;0.5995000004768372;8763;8; 3; 0.001; 0.1; max; 3; same; relu; l2; adam
31;2020-09-10 09:01:21;29;0.5501875281333923;8763;8; 3; 0.001; 0.2; max; 3; same; relu; l2; adam
32;2020-09-10 09:02:17;6;0.10000000149011612;8763;8; 3; 0.001; 0.5; max; 3; same; relu; l2; adam
33;2020-09-10 09:07:01;31;0.6082500219345093;8763;8; 3; 0.0005; 0.05; max; 3; same; relu; l2; adam
34;2020-09-10 09:10:07;20;0.5960000157356262;8763;8; 3; 0.0005; 0.1; max; 3; same; relu; l2; adam
35;2020-09-10 09:13:23;21;0.5794374942779541;8763;8; 3; 0.0005; 0.2; max; 3; same; relu; l2; adam
36;2020-09-10 09:19:01;36;0.4560624957084656;8763;8; 3; 0.0005; 0.5; max; 3; same; relu; l2; adam
37;2020-09-10 09:22:44;24;0.5129374861717224;8763;8; 3; 0.0001; 0.05; max; 3; same; relu; l2; adam
38;2020-09-10 09:28:00;34;0.5230000019073486;8763;8; 3; 0.0001; 0.1; max; 3; same; relu; l2; adam
39;2020-09-10 09:35:10;46;0.5563125014305115;8763;8; 3; 0.0001; 0.2; max; 3; same; relu; l2; adam
40;2020-09-10 09:39:03;24;0.3685624897480011;8763;8; 3; 0.0001; 0.5; max; 3; same; relu; l2; adam
41;2020-09-10 09:40:07;6;0.10000000149011612;29025;16; 5; 0.01; 0.05; max; 3; same; relu; l2; adam
42;2020-09-10 09:41:09;6;0.10000000149011612;29025;16; 5; 0.01; 0.1; max; 3; same; relu; l2; adam
43;2020-09-10 09:42:12;6;0.10000000149011612;29025;16; 5; 0.01; 0.2; max; 3; same; relu; l2; adam
44;2020-09-10 09:43:15;6;0.10000000149011612;29025;16; 5; 0.01; 0.5; max; 3; same; relu; l2; adam
45;2020-09-10 09:44:49;9;0.4827499985694885;29025;16; 5; 0.005; 0.05; max; 3; same; relu; l2; adam
46;2020-09-10 09:46:12;8;0.2867499887943268;29025;16; 5; 0.005; 0.1; max; 3; same; relu; l2; adam
47;2020-09-10 09:47:25;7;0.3903749883174896;29025;16; 5; 0.005; 0.2; max; 3; same; relu; l2; adam
48;2020-09-10 09:50:42;19;0.2851875126361847;29025;16; 5; 0.005; 0.5; max; 3; same; relu; l2; adam
49;2020-09-10 09:56:25;33;0.601937472820282;29025;16; 5; 0.001; 0.05; max; 3; same; relu; l2; adam
50;2020-09-10 10:00:56;26;0.6064375042915344;29025;16; 5; 0.001; 0.1; max; 3; same; relu; l2; adam
51;2020-09-10 10:03:41;16;0.3723124861717224;29025;16; 5; 0.001; 0.2; max; 3; same; relu; l2; adam
52;2020-09-10 10:05:35;11;0.27156248688697815;29025;16; 5; 0.001; 0.5; max; 3; same; relu; l2; adam
53;2020-09-10 10:09:28;23;0.6194999814033508;29025;16; 5; 0.0005; 0.05; max; 3; same; relu; l2; adam
54;2020-09-10 10:13:24;23;0.6198124885559082;29025;16; 5; 0.0005; 0.1; max; 3; same; relu; l2; adam
55;2020-09-10 10:16:57;21;0.6065624952316284;29025;16; 5; 0.0005; 0.2; max; 3; same; relu; l2; adam
56;2020-09-10 10:22:10;31;0.328000009059906;29025;16; 5; 0.0005; 0.5; max; 3; same; relu; l2; adam
57;2020-09-10 10:29:42;45;0.6073125004768372;29025;16; 5; 0.0001; 0.05; max; 3; same; relu; l2; adam
58;2020-09-10 12:20:55;50;0.6589375138282776;29025;16; 5; 0.0001; 0.1; max; 3; same; relu; l2; adam
59;2020-09-10 12:27:14;36;0.604812502861023;29025;16; 5; 0.0001; 0.2; max; 3; same; relu; l2; adam
60;2020-09-10 12:31:44;26;0.5780624747276306;29025;16; 5; 0.0001; 0.5; max; 3; same; relu; l2; adam
61;2020-09-10 12:37:46;31;0.7341874837875366;127171;32; 11; 0.01; 0.05; max; 3; same; relu; l2; adam
62;2020-09-10 12:40:41;15;0.6787499785423279;127171;32; 11; 0.01; 0.1; max; 3; same; relu; l2; adam
63;2020-09-10 12:42:50;11;0.5404375195503235;127171;32; 11; 0.01; 0.2; max; 3; same; relu; l2; adam
64;2020-09-10 12:44:35;9;0.5748124718666077;127171;32; 11; 0.01; 0.5; max; 3; same; relu; l2; adam
65;2020-09-10 12:46:20;9;0.6350625157356262;127171;32; 11; 0.005; 0.05; max; 3; same; relu; l2; adam
66;2020-09-10 12:51:20;26;0.637499988079071;127171;32; 11; 0.005; 0.1; max; 3; same; relu; l2; adam
67;2020-09-10 12:52:29;6;0.10000000149011612;127171;32; 11; 0.005; 0.2; max; 3; same; relu; l2; adam
68;2020-09-10 12:53:40;6;0.5383750200271606;127171;32; 11; 0.005; 0.5; max; 3; same; relu; l2; adam
69;2020-09-10 12:56:58;17;0.6758124828338623;127171;32; 11; 0.001; 0.05; max; 3; same; relu; l2; adam
70;2020-09-10 12:59:54;15;0.6518124938011169;127171;32; 11; 0.001; 0.1; max; 3; same; relu; l2; adam
71;2020-09-10 13:02:59;16;0.6469374895095825;127171;32; 11; 0.001; 0.2; max; 3; same; relu; l2; adam
72;2020-09-10 13:09:12;32;0.6268125176429749;127171;32; 11; 0.001; 0.5; max; 3; same; relu; l2; adam
73;2020-09-10 13:11:20;11;0.6198124885559082;127171;32; 11; 0.0005; 0.05; max; 3; same; relu; l2; adam
74;2020-09-10 13:14:27;16;0.6496250033378601;127171;32; 11; 0.0005; 0.1; max; 3; same; relu; l2; adam
75;2020-09-10 13:21:03;34;0.6723750233650208;127171;32; 11; 0.0005; 0.2; max; 3; same; relu; l2; adam
76;2020-09-10 13:26:31;28;0.6420624852180481;127171;32; 11; 0.0005; 0.5; max; 3; same; relu; l2; adam
77;2020-09-10 13:36:18;50;0.6963124871253967;127171;32; 11; 0.0001; 0.05; max; 3; same; relu; l2; adam
78;2020-09-10 13:43:03;35;0.6693750023841858;127171;32; 11; 0.0001; 0.1; max; 3; same; relu; l2; adam
79;2020-09-10 13:47:52;25;0.6356874704360962;127171;32; 11; 0.0001; 0.2; max; 3; same; relu; l2; adam
80;2020-09-10 13:56:49;46;0.6429374814033508;127171;32; 11; 0.0001; 0.5; max; 3; same; relu; l2; adam
81;2020-09-10 14:03:04;27;0.7839999794960022;484721;64; 21; 0.01; 0.05; max; 3; same; relu; l2; adam
82;2020-09-10 14:04:54;8;0.6806250214576721;484721;64; 21; 0.01; 0.1; max; 3; same; relu; l2; adam
83;2020-09-10 14:07:00;9;0.5466874837875366;484721;64; 21; 0.01; 0.2; max; 3; same; relu; l2; adam
84;2020-09-10 14:12:17;23;0.5723124742507935;484721;64; 21; 0.01; 0.5; max; 3; same; relu; l2; adam
85;2020-09-10 14:16:25;18;0.7379999756813049;484721;64; 21; 0.005; 0.05; max; 3; same; relu; l2; adam
86;2020-09-10 14:21:00;20;0.742312490940094;484721;64; 21; 0.005; 0.1; max; 3; same; relu; l2; adam
87;2020-09-10 14:26:02;22;0.7106249928474426;484721;64; 21; 0.005; 0.2; max; 3; same; relu; l2; adam
88;2020-09-10 14:32:27;28;0.6911875009536743;484721;64; 21; 0.005; 0.5; max; 3; same; relu; l2; adam
89;2020-09-10 14:37:02;20;0.7208750247955322;484721;64; 21; 0.001; 0.05; max; 3; same; relu; l2; adam
90;2020-09-10 14:42:35;25;0.7120000123977661;484721;64; 21; 0.001; 0.1; max; 3; same; relu; l2; adam
91;2020-09-10 14:47:40;23;0.6736249923706055;484721;64; 21; 0.001; 0.2; max; 3; same; relu; l2; adam
92;2020-09-10 14:50:34;13;0.6336874961853027;484721;64; 21; 0.001; 0.5; max; 3; same; relu; l2; adam
93;2020-09-10 14:54:27;17;0.7067499756813049;484721;64; 21; 0.0005; 0.05; max; 3; same; relu; l2; adam
94;2020-09-10 14:57:39;14;0.6974999904632568;484721;64; 21; 0.0005; 0.1; max; 3; same; relu; l2; adam
95;2020-09-10 15:01:31;17;0.6906874775886536;484721;64; 21; 0.0005; 0.2; max; 3; same; relu; l2; adam
96;2020-09-10 15:04:03;11;0.6172500252723694;484721;64; 21; 0.0005; 0.5; max; 3; same; relu; l2; adam
97;2020-09-10 15:10:14;26;0.7071874737739563;484721;64; 21; 0.0001; 0.05; max; 3; same; relu; l2; adam
98;2020-09-10 15:21:44;48;0.7099999785423279;484721;64; 21; 0.0001; 0.1; max; 3; same; relu; l2; adam
99;2020-09-10 15:29:05;32;0.6982499957084656;484721;64; 21; 0.0001; 0.2; max; 3; same; relu; l2; adam
100;2020-09-10 15:34:18;23;0.6581875085830688;484721;64; 21; 0.0001; 0.5; max; 3; same; relu; l2; adam
101;2020-09-10 15:36:30;7;0.6499375104904175;1983203;128; 43; 0.01; 0.05; max; 3; same; relu; l2; adam
102;2020-09-10 15:41:51;17;0.781125009059906;1983203;128; 43; 0.01; 0.1; max; 3; same; relu; l2; adam
103;2020-09-10 15:51:53;32;0.7748749852180481;1983203;128; 43; 0.01; 0.2; max; 3; same; relu; l2; adam
104;2020-09-10 15:53:45;6;0.10000000149011612;1983203;128; 43; 0.01; 0.5; max; 3; same; relu; l2; adam
105;2020-09-10 15:58:31;15;0.7815625071525574;1983203;128; 43; 0.005; 0.05; max; 3; same; relu; l2; adam
106;2020-09-10 16:02:02;11;0.7681875228881836;1983203;128; 43; 0.005; 0.1; max; 3; same; relu; l2; adam
107;2020-09-10 16:06:47;15;0.7474374771118164;1983203;128; 43; 0.005; 0.2; max; 3; same; relu; l2; adam
108;2020-09-10 16:14:54;26;0.7499374747276306;1983203;128; 43; 0.005; 0.5; max; 3; same; relu; l2; adam
109;2020-09-10 16:19:39;15;0.7281875014305115;1983203;128; 43; 0.001; 0.05; max; 3; same; relu; l2; adam
110;2020-09-10 16:24:25;15;0.7383750081062317;1983203;128; 43; 0.001; 0.1; max; 3; same; relu; l2; adam
111;2020-09-10 16:29:11;15;0.7408750057220459;1983203;128; 43; 0.001; 0.2; max; 3; same; relu; l2; adam
112;2020-09-10 16:39:33;33;0.6974375247955322;1983203;128; 43; 0.001; 0.5; max; 3; same; relu; l2; adam
113;2020-09-10 16:43:22;12;0.7276874780654907;1983203;128; 43; 0.0005; 0.05; max; 3; same; relu; l2; adam
114;2020-09-10 16:48:24;16;0.7267500162124634;1983203;128; 43; 0.0005; 0.1; max; 3; same; relu; l2; adam
115;2020-09-10 16:53:08;15;0.7170624732971191;1983203;128; 43; 0.0005; 0.2; max; 3; same; relu; l2; adam
116;2020-09-10 20:55:17;15;0.6508125066757202;1983203;128; 43; 0.0005; 0.5; max; 3; same; relu; l2; adam
117;2020-09-10 22:13:17;27;0.7174375057220459;1983203;128; 43; 0.0001; 0.05; max; 3; same; relu; l2; adam
