ModelNumber;Timestamp;NumEpochs;ValAccuracy;NumParams;HiddenLayerSizes;LearningRate;DropoutRate;ActivationFunction;Regularization;OptimizationAlgorithm
1;2020-09-07 18:55:38;6;0.10000000149011612;1501;(1,); 0.01; 0.05; relu; l2; adam
2;2020-09-07 18:56:09;6;0.10000000149011612;1501;(1,); 0.01; 0.1; relu; l2; adam
3;2020-09-07 18:56:40;6;0.10000000149011612;1501;(1,); 0.01; 0.2; relu; l2; adam
4;2020-09-07 18:57:11;6;0.10000000149011612;1501;(1,); 0.01; 0.5; relu; l2; adam
5;2020-09-07 18:57:42;6;0.10000000149011612;1501;(1,); 0.005; 0.05; relu; l2; adam
6;2020-09-07 18:58:14;6;0.10000000149011612;1501;(1,); 0.005; 0.1; relu; l2; adam
7;2020-09-07 18:58:45;6;0.10000000149011612;1501;(1,); 0.005; 0.2; relu; l2; adam
8;2020-09-07 18:59:16;6;0.10000000149011612;1501;(1,); 0.005; 0.5; relu; l2; adam
9;2020-09-07 19:00:58;20;0.3140625059604645;1501;(1,); 0.001; 0.05; relu; l2; adam
10;2020-09-07 19:01:54;11;0.2943125069141388;1501;(1,); 0.001; 0.1; relu; l2; adam
11;2020-09-07 19:02:30;7;0.2737500071525574;1501;(1,); 0.001; 0.2; relu; l2; adam
12;2020-09-07 19:03:05;7;0.2561874985694885;1501;(1,); 0.001; 0.5; relu; l2; adam
13;2020-09-07 19:04:11;13;0.2944374978542328;1501;(1,); 0.0005; 0.05; relu; l2; adam
14;2020-09-07 19:05:52;20;0.2998749911785126;1501;(1,); 0.0005; 0.1; relu; l2; adam
15;2020-09-07 19:07:03;14;0.29762500524520874;1501;(1,); 0.0005; 0.2; relu; l2; adam
16;2020-09-07 19:08:14;14;0.2696875035762787;1501;(1,); 0.0005; 0.5; relu; l2; adam
17;2020-09-07 19:10:39;29;0.2887499928474426;1501;(1,); 0.0001; 0.05; relu; l2; adam
18;2020-09-07 19:14:22;45;0.2944374978542328;1501;(1,); 0.0001; 0.1; relu; l2; adam
19;2020-09-07 19:18:24;48;0.2940624952316284;1501;(1,); 0.0001; 0.2; relu; l2; adam
20;2020-09-07 19:19:29;13;0.218687504529953;1501;(1,); 0.0001; 0.5; relu; l2; adam
21;2020-09-07 19:20:57;17;0.30268749594688416;7465;(5,); 0.01; 0.05; relu; l2; adam
22;2020-09-07 19:22:38;20;0.28331249952316284;7465;(5,); 0.01; 0.1; relu; l2; adam
23;2020-09-07 19:23:09;6;0.10000000149011612;7465;(5,); 0.01; 0.2; relu; l2; adam
24;2020-09-07 19:23:40;6;0.10000000149011612;7465;(5,); 0.01; 0.5; relu; l2; adam
25;2020-09-07 19:24:31;10;0.3139374852180481;7465;(5,); 0.005; 0.05; relu; l2; adam
26;2020-09-07 19:25:24;10;0.30162501335144043;7465;(5,); 0.005; 0.1; relu; l2; adam
27;2020-09-07 19:26:15;10;0.296999990940094;7465;(5,); 0.005; 0.2; relu; l2; adam
28;2020-09-07 19:27:11;11;0.26600000262260437;7465;(5,); 0.005; 0.5; relu; l2; adam
29;2020-09-07 19:29:12;24;0.6315000057220459;7465;(5,); 0.001; 0.05; relu; l2; adam
30;2020-09-07 19:30:39;17;0.6226249933242798;7465;(5,); 0.001; 0.1; relu; l2; adam
31;2020-09-07 19:32:36;23;0.6238750219345093;7465;(5,); 0.001; 0.2; relu; l2; adam
32;2020-09-07 19:33:27;10;0.48762500286102295;7465;(5,); 0.001; 0.5; relu; l2; adam
33;2020-09-07 19:35:03;19;0.6279374957084656;7465;(5,); 0.0005; 0.05; relu; l2; adam
34;2020-09-07 19:37:56;34;0.6333125233650208;7465;(5,); 0.0005; 0.1; relu; l2; adam
35;2020-09-07 19:39:12;15;0.6131250262260437;7465;(5,); 0.0005; 0.2; relu; l2; adam
36;2020-09-07 19:41:08;23;0.5880625247955322;7465;(5,); 0.0005; 0.5; relu; l2; adam
37;2020-09-07 19:45:15;49;0.6291249990463257;7465;(5,); 0.0001; 0.05; relu; l2; adam
38;2020-09-07 19:49:19;48;0.6245625019073486;7465;(5,); 0.0001; 0.1; relu; l2; adam
39;2020-09-07 19:52:47;41;0.609375;7465;(5,); 0.0001; 0.2; relu; l2; adam
40;2020-09-07 19:54:58;26;0.5808749794960022;7465;(5,); 0.0001; 0.5; relu; l2; adam
41;2020-09-07 19:56:49;22;0.5827500224113464;29830;(20,); 0.01; 0.05; relu; l2; adam
42;2020-09-07 19:57:34;9;0.5332499742507935;29830;(20,); 0.01; 0.1; relu; l2; adam
43;2020-09-07 19:59:04;18;0.4650000035762787;29830;(20,); 0.01; 0.2; relu; l2; adam
44;2020-09-07 20:00:20;15;0.2240000069141388;29830;(20,); 0.01; 0.5; relu; l2; adam
45;2020-09-07 20:01:49;17;0.6463124752044678;29830;(20,); 0.005; 0.05; relu; l2; adam
46;2020-09-07 20:03:26;19;0.6528750061988831;29830;(20,); 0.005; 0.1; relu; l2; adam
47;2020-09-07 20:04:53;17;0.6308125257492065;29830;(20,); 0.005; 0.2; relu; l2; adam
48;2020-09-07 20:07:05;26;0.5736874938011169;29830;(20,); 0.005; 0.5; relu; l2; adam
49;2020-09-07 20:09:11;25;0.6800000071525574;29830;(20,); 0.001; 0.05; relu; l2; adam
50;2020-09-07 20:10:36;17;0.6821874976158142;29830;(20,); 0.001; 0.1; relu; l2; adam
51;2020-09-07 20:13:44;36;0.6740000247955322;29830;(20,); 0.001; 0.2; relu; l2; adam
52;2020-09-07 20:15:41;23;0.6439999938011169;29830;(20,); 0.001; 0.5; relu; l2; adam
53;2020-09-07 20:17:56;26;0.6868749856948853;29830;(20,); 0.0005; 0.05; relu; l2; adam
54;2020-09-07 20:20:11;26;0.6853125095367432;29830;(20,); 0.0005; 0.1; relu; l2; adam
55;2020-09-07 20:23:54;43;0.6838750243186951;29830;(20,); 0.0005; 0.2; relu; l2; adam
56;2020-09-07 20:25:58;24;0.6446250081062317;29830;(20,); 0.0005; 0.5; relu; l2; adam
57;2020-09-07 20:28:09;25;0.6638749837875366;29830;(20,); 0.0001; 0.05; relu; l2; adam
58;2020-09-07 20:30:18;25;0.6604999899864197;29830;(20,); 0.0001; 0.1; relu; l2; adam
59;2020-09-07 20:34:32;46;0.6676874756813049;29830;(20,); 0.0001; 0.2; relu; l2; adam
60;2020-09-07 20:36:30;23;0.6313124895095825;29830;(20,); 0.0001; 0.5; relu; l2; adam
