Model,NumParams,TestAccuracy,PPS,PPS_StdError
Shallow-MLP,1501,0.31644999980926514,43197.14468824654,208.17352977631487
Shallow-MLP,7465,0.6353499889373779,42723.33558322518,365.5778117807014
Shallow-MLP,29830,0.689050018787384,41314.96820081252,259.97672450969844
Shallow-MLP,120781,0.7120000123977661,36097.03681159274,223.70223888767526
Shallow-MLP,480112,0.713450014591217,23107.186966807527,79.57844409302533
Shallow-MLP,1920418,0.7265499830245972,11352.556034634425,43.22589079263977
Deep-MLP,1505,0.27959999442100525,41511.74131013595,392.3866349586719
Deep-MLP,7685,0.6294500231742859,39529.37479390893,874.2194648498623
Deep-MLP,33730,0.6983500123023987,39491.802758825055,210.78742196955324
Deep-MLP,121880,0.7260500192642212,35031.97768459387,209.343275657066
Deep-MLP,492910,0.7603999972343445,23859.57832110872,137.27939824225754
Deep-MLP,1892260,0.7612500190734863,9556.859883010458,40.9978560591671
Shallow-CNN,2952,0.6147000193595886,4312.594552745968,6.199060838167988
Shallow-CNN,8763,0.6117500066757202,4257.495692485912,43.85206907393244
Shallow-CNN,29025,0.652899980545044,4021.531201717558,7.448792534980837
Shallow-CNN,127171,0.7400500178337097,3435.2230284748603,22.39796748200052
Shallow-CNN,484721,0.7892500162124634,2653.2927663940973,5.63741651773463
Shallow-CNN,1983203,0.7835500240325928,1570.5993418148419,26.53592792876578
Deep-CNN,1978,0.6932500004768372,1688.317099936169,1.468693759719845
Deep-CNN,7690,0.8422499895095825,1931.4456663849128,2.3699178388998154
Deep-CNN,30346,0.8848000168800354,1504.5785174191938,1.1897951748180147
Deep-CNN,120586,0.8895000219345093,851.3023371198499,1.3349437559675075
Deep-CNN,480778,0.8912000060081482,312.89909096612644,0.4248885424721355
Deep-CNN,1920010,0.9010499715805054,97.09009194655208,0.061900166861641834
SVM,1481,0.64625,236726.87243366934,276.8898345360262
