ModelNumber;Timestamp;NumEpochs;ValAccuracy;NumParams;NumBytes;NumFiltersPerLayer;DenseLayerSize;LearningRate;DropoutRate;PoolingType;FilterSize;PaddingType;ActivationFunction;Regularization;OptimizationAlgorithm
1;2020-09-12 15:03:43;19;0.714062511920929;111370;1296; (32, 32, 32, 32); 32; 0.01; 0.05; max; 3; same; relu; l2; adam
2;2020-09-12 15:04:38;6;0.10000000149011612;111370;1296; (32, 32, 32, 32); 32; 0.01; 0.1; max; 3; same; relu; l2; adam
3;2020-09-12 15:07:18;18;0.7278125286102295;111370;1296; (32, 32, 32, 32); 32; 0.01; 0.2; max; 3; same; relu; l2; adam
4;2020-09-12 15:10:15;20;0.6663749814033508;111370;1296; (32, 32, 32, 32); 32; 0.01; 0.5; max; 3; same; relu; l2; adam
5;2020-09-12 15:14:31;29;0.8450624942779541;111370;1296; (32, 32, 32, 32); 32; 0.005; 0.05; max; 3; same; relu; l2; adam
6;2020-09-12 15:19:41;35;0.8466874957084656;111370;1296; (32, 32, 32, 32); 32; 0.005; 0.1; max; 3; same; relu; l2; adam
7;2020-09-12 15:23:50;28;0.8408125042915344;111370;1296; (32, 32, 32, 32); 32; 0.005; 0.2; max; 3; same; relu; l2; adam
8;2020-09-12 15:28:25;31;0.8131874799728394;111370;1296; (32, 32, 32, 32); 32; 0.005; 0.5; max; 3; same; relu; l2; adam
9;2020-09-12 15:32:00;24;0.8431875109672546;111370;1296; (32, 32, 32, 32); 32; 0.001; 0.05; max; 3; same; relu; l2; adam
10;2020-09-12 15:36:10;28;0.8499374985694885;111370;1296; (32, 32, 32, 32); 32; 0.001; 0.1; max; 3; same; relu; l2; adam
11;2020-09-12 15:40:19;28;0.8496875166893005;111370;1296; (32, 32, 32, 32); 32; 0.001; 0.2; max; 3; same; relu; l2; adam
12;2020-09-12 15:47:00;45;0.8532500267028809;111370;1296; (32, 32, 32, 32); 32; 0.001; 0.5; max; 3; same; relu; l2; adam
13;2020-09-12 15:51:22;29;0.8293750286102295;111370;1296; (32, 32, 32, 32); 32; 0.0005; 0.05; max; 3; same; relu; l2; adam
14;2020-09-12 15:56:20;33;0.8226249814033508;111370;1296; (32, 32, 32, 32); 32; 0.0005; 0.1; max; 3; same; relu; l2; adam
15;2020-09-12 16:02:12;39;0.8337500095367432;111370;1296; (32, 32, 32, 32); 32; 0.0005; 0.2; max; 3; same; relu; l2; adam
16;2020-09-12 16:09:42;50;0.835562527179718;111370;1296; (32, 32, 32, 32); 32; 0.0005; 0.5; max; 3; same; relu; l2; adam
17;2020-09-12 16:16:12;43;0.7724999785423279;111370;1296; (32, 32, 32, 32); 32; 0.0001; 0.05; max; 3; same; relu; l2; adam
18;2020-09-12 16:23:47;50;0.7631250023841858;111370;1296; (32, 32, 32, 32); 32; 0.0001; 0.1; max; 3; same; relu; l2; adam
19;2020-09-12 16:31:19;50;0.742562472820282;111370;1296; (32, 32, 32, 32); 32; 0.0001; 0.2; max; 3; same; relu; l2; adam
20;2020-09-12 16:38:51;50;0.6971250176429749;111370;1296; (32, 32, 32, 32); 32; 0.0001; 0.5; max; 3; same; relu; l2; adam
21;2020-09-12 16:40:12;10;0.6416249871253967;93962;1024; (32, 32, 32, 32); 32; 0.01; 0.05; max; 3; same; relu; l2; adam
22;2020-09-12 16:43:14;23;0.7068750262260437;93962;1024; (32, 32, 32, 32); 32; 0.01; 0.1; max; 3; same; relu; l2; adam
23;2020-09-12 16:45:37;18;0.7391250133514404;93962;1024; (32, 32, 32, 32); 32; 0.01; 0.2; max; 3; same; relu; l2; adam
24;2020-09-12 16:46:25;6;0.10000000149011612;93962;1024; (32, 32, 32, 32); 32; 0.01; 0.5; max; 3; same; relu; l2; adam
25;2020-09-12 16:48:00;12;0.8073124885559082;93962;1024; (32, 32, 32, 32); 32; 0.005; 0.05; max; 3; same; relu; l2; adam
26;2020-09-12 16:50:46;21;0.8253124952316284;93962;1024; (32, 32, 32, 32); 32; 0.005; 0.1; max; 3; same; relu; l2; adam
27;2020-09-12 16:54:51;31;0.8291249871253967;93962;1024; (32, 32, 32, 32); 32; 0.005; 0.2; max; 3; same; relu; l2; adam
28;2020-09-12 17:00:22;42;0.7909374833106995;93962;1024; (32, 32, 32, 32); 32; 0.005; 0.5; max; 3; same; relu; l2; adam
29;2020-09-12 17:03:33;24;0.825124979019165;93962;1024; (32, 32, 32, 32); 32; 0.001; 0.05; max; 3; same; relu; l2; adam
30;2020-09-12 17:07:38;31;0.8293125033378601;93962;1024; (32, 32, 32, 32); 32; 0.001; 0.1; max; 3; same; relu; l2; adam
31;2020-09-12 17:11:18;28;0.8320624828338623;93962;1024; (32, 32, 32, 32); 32; 0.001; 0.2; max; 3; same; relu; l2; adam
32;2020-09-12 17:16:21;38;0.8396875262260437;93962;1024; (32, 32, 32, 32); 32; 0.001; 0.5; max; 3; same; relu; l2; adam
33;2020-09-12 17:21:31;39;0.8098750114440918;93962;1024; (32, 32, 32, 32); 32; 0.0005; 0.05; max; 3; same; relu; l2; adam
34;2020-09-12 17:24:41;24;0.8098750114440918;93962;1024; (32, 32, 32, 32); 32; 0.0005; 0.1; max; 3; same; relu; l2; adam
35;2020-09-12 17:29:49;39;0.8138124942779541;93962;1024; (32, 32, 32, 32); 32; 0.0005; 0.2; max; 3; same; relu; l2; adam
36;2020-09-12 17:34:12;33;0.8100000023841858;93962;1024; (32, 32, 32, 32); 32; 0.0005; 0.5; max; 3; same; relu; l2; adam
37;2020-09-12 17:40:52;50;0.7561874985694885;93962;1024; (32, 32, 32, 32); 32; 0.0001; 0.05; max; 3; same; relu; l2; adam
38;2020-09-12 17:47:43;50;0.753000020980835;93962;1024; (32, 32, 32, 32); 32; 0.0001; 0.1; max; 3; same; relu; l2; adam
39;2020-09-12 17:54:28;50;0.7591249942779541;93962;1024; (32, 32, 32, 32); 32; 0.0001; 0.2; max; 3; same; relu; l2; adam
40;2020-09-12 18:01:06;50;0.6739374995231628;93962;1024; (32, 32, 32, 32); 32; 0.0001; 0.5; max; 3; same; relu; l2; adam
41;2020-09-12 18:06:09;41;0.7569375038146973;78602;784; (32, 32, 32, 32); 32; 0.01; 0.05; max; 3; same; relu; l2; adam
42;2020-09-12 18:09:42;29;0.7580000162124634;78602;784; (32, 32, 32, 32); 32; 0.01; 0.1; max; 3; same; relu; l2; adam
43;2020-09-12 18:11:26;14;0.6466875076293945;78602;784; (32, 32, 32, 32); 32; 0.01; 0.2; max; 3; same; relu; l2; adam
44;2020-09-12 18:13:03;13;0.5916249752044678;78602;784; (32, 32, 32, 32); 32; 0.01; 0.5; max; 3; same; relu; l2; adam
45;2020-09-12 18:15:17;18;0.8221874833106995;78602;784; (32, 32, 32, 32); 32; 0.005; 0.05; max; 3; same; relu; l2; adam
46;2020-09-12 18:18:08;23;0.8153749704360962;78602;784; (32, 32, 32, 32); 32; 0.005; 0.1; max; 3; same; relu; l2; adam
47;2020-09-12 18:21:57;31;0.8144375085830688;78602;784; (32, 32, 32, 32); 32; 0.005; 0.2; max; 3; same; relu; l2; adam
48;2020-09-12 18:27:33;46;0.7785624861717224;78602;784; (32, 32, 32, 32); 32; 0.005; 0.5; max; 3; same; relu; l2; adam
49;2020-09-12 18:30:27;24;0.8175625205039978;78602;784; (32, 32, 32, 32); 32; 0.001; 0.05; max; 3; same; relu; l2; adam
50;2020-09-12 18:34:12;31;0.8185625076293945;78602;784; (32, 32, 32, 32); 32; 0.001; 0.1; max; 3; same; relu; l2; adam
51;2020-09-12 18:37:58;31;0.8148750066757202;78602;784; (32, 32, 32, 32); 32; 0.001; 0.2; max; 3; same; relu; l2; adam
52;2020-09-12 18:44:02;50;0.8241249918937683;78602;784; (32, 32, 32, 32); 32; 0.001; 0.5; max; 3; same; relu; l2; adam
53;2020-09-12 18:47:36;29;0.8098750114440918;78602;784; (32, 32, 32, 32); 32; 0.0005; 0.05; max; 3; same; relu; l2; adam
54;2020-09-12 18:51:28;31;0.8090000152587891;78602;784; (32, 32, 32, 32); 32; 0.0005; 0.1; max; 3; same; relu; l2; adam
55;2020-09-12 18:55:46;35;0.8164374828338623;78602;784; (32, 32, 32, 32); 32; 0.0005; 0.2; max; 3; same; relu; l2; adam
56;2020-09-12 19:01:57;50;0.8055624961853027;78602;784; (32, 32, 32, 32); 32; 0.0005; 0.5; max; 3; same; relu; l2; adam
57;2020-09-12 19:08:09;50;0.7645624876022339;78602;784; (32, 32, 32, 32); 32; 0.0001; 0.05; max; 3; same; relu; l2; adam
58;2020-09-12 19:14:29;50;0.7571250200271606;78602;784; (32, 32, 32, 32); 32; 0.0001; 0.1; max; 3; same; relu; l2; adam
59;2020-09-12 19:20:46;50;0.7441874742507935;78602;784; (32, 32, 32, 32); 32; 0.0001; 0.2; max; 3; same; relu; l2; adam
60;2020-09-12 19:27:03;50;0.6571875214576721;78602;784; (32, 32, 32, 32); 32; 0.0001; 0.5; max; 3; same; relu; l2; adam
61;2020-09-12 19:29:36;21;0.6165000200271606;65290;576; (32, 32, 32, 32); 32; 0.01; 0.05; max; 3; same; relu; l2; adam
62;2020-09-12 19:32:25;23;0.6509374976158142;65290;576; (32, 32, 32, 32); 32; 0.01; 0.1; max; 3; same; relu; l2; adam
63;2020-09-12 19:33:08;6;0.10000000149011612;65290;576; (32, 32, 32, 32); 32; 0.01; 0.2; max; 3; same; relu; l2; adam
64;2020-09-12 19:34:42;13;0.6064375042915344;65290;576; (32, 32, 32, 32); 32; 0.01; 0.5; max; 3; same; relu; l2; adam
65;2020-09-12 19:37:43;25;0.8140624761581421;65290;576; (32, 32, 32, 32); 32; 0.005; 0.05; max; 3; same; relu; l2; adam
66;2020-09-12 19:40:24;22;0.8041250109672546;65290;576; (32, 32, 32, 32); 32; 0.005; 0.1; max; 3; same; relu; l2; adam
67;2020-09-12 19:44:07;31;0.809374988079071;65290;576; (32, 32, 32, 32); 32; 0.005; 0.2; max; 3; same; relu; l2; adam
68;2020-09-12 19:48:11;34;0.7352499961853027;65290;576; (32, 32, 32, 32); 32; 0.005; 0.5; max; 3; same; relu; l2; adam
69;2020-09-12 19:51:04;24;0.8116250038146973;65290;576; (32, 32, 32, 32); 32; 0.001; 0.05; max; 3; same; relu; l2; adam
70;2020-09-12 19:53:57;24;0.8076249957084656;65290;576; (32, 32, 32, 32); 32; 0.001; 0.1; max; 3; same; relu; l2; adam
71;2020-09-12 19:57:44;31;0.8088124990463257;65290;576; (32, 32, 32, 32); 32; 0.001; 0.2; max; 3; same; relu; l2; adam
72;2020-09-12 20:03:21;46;0.8174999952316284;65290;576; (32, 32, 32, 32); 32; 0.001; 0.5; max; 3; same; relu; l2; adam
73;2020-09-13 07:11:20;29;0.8046875;65290;576; (32, 32, 32, 32); 32; 0.0005; 0.05; max; 3; same; relu; l2; adam
74;2020-09-13 07:15:14;29;0.7955625057220459;65290;576; (32, 32, 32, 32); 32; 0.0005; 0.1; max; 3; same; relu; l2; adam
75;2020-09-13 07:19:56;35;0.8019375205039978;65290;576; (32, 32, 32, 32); 32; 0.0005; 0.2; max; 3; same; relu; l2; adam
76;2020-09-13 07:26:39;50;0.7995625138282776;65290;576; (32, 32, 32, 32); 32; 0.0005; 0.5; max; 3; same; relu; l2; adam
77;2020-09-13 07:33:27;50;0.7663750052452087;65290;576; (32, 32, 32, 32); 32; 0.0001; 0.05; max; 3; same; relu; l2; adam
78;2020-09-13 07:40:17;50;0.7508124709129333;65290;576; (32, 32, 32, 32); 32; 0.0001; 0.1; max; 3; same; relu; l2; adam
